profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,-2.6903966414462386,-0.005973245582659704,-0.9066014492288511,-0.9006282036461914,0.9018326539531752,0.9006282036461914,0.0,-0.9006282036461914,0.9018326539531752,0.9006282036461914,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,-1.0560019672333263,-0.08240932827813148,-0.22433003315568886,-0.1419207048775574,0.1467367185325428,0.1419207048775574,0.0,-0.1419207048775574,0.1467367185325428,0.1419207048775574,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,-0.38819992323075647,-0.15727162171829173,-0.31855315711772403,-0.1612815353994323,0.16557124659496883,0.1612815353994323,0.0,-0.1612815353994323,0.16557124659496883,0.1612815353994323,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,0.10805498357519228,-0.20491451462908647,-0.4225626905314001,-0.21764817590231358,0.22137791725032363,0.21764817590231358,0.0,-0.21764817590231358,0.22137791725032363,0.21764817590231358,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,0.5488852415421697,-0.24043207668645827,-0.46979774588544126,-0.22936566919898302,0.2330782422291646,0.22936566919898302,0.0,-0.22936566919898302,0.2330782422291646,0.22936566919898302,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,0.9803909641425683,-0.25184204878746697,-0.4650278194979297,-0.2131857707104627,0.21684997074904758,0.2131857707104627,0.0,-0.2131857707104627,0.21684997074904758,0.2131857707104627,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,1.4233415609764641,-0.24239931325559766,-0.3949353684764113,-0.15253605522081368,0.1591248380764665,0.15253605522081368,0.0,-0.15253605522081368,0.1591248380764665,0.15253605522081368,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,1.9537858635293346,-0.2030188139351884,-0.2763827455947779,-0.07336393165958947,0.08465559154938337,0.07350736052996516,0.0,-0.07336393165958947,0.08465559154938337,0.07350736052996516,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,2.6538047968629783,-0.13706273696258675,-0.1441040759911043,-0.007041339028517544,0.0399629968110215,0.03253260098012263,0.0,-0.007041339028517544,0.0399629968110215,0.03253260098012263,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,4.564163102251663,-0.015308677301666851,-0.7567528423625116,-0.7414441650608449,0.743759036922412,0.7414441650608449,0.0,-0.7414441650608449,0.743759036922412,0.7414441650608449,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,-2.6903966414462386,-0.005973245582659704,-0.3571682883138476,-0.3511950427311879,0.3986449833941472,0.35215954992355347,0.0,-0.3511950427311879,0.3986449833941472,0.35215954992355347,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,-1.0560019672333263,-0.08240932827813148,-2.828205413743012,-2.7457960854648804,3.0280318566376456,2.7457960854648804,0.0,-2.7457960854648804,3.0280318566376456,2.7457960854648804,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,-0.38819992323075647,-0.15727162171829173,-4.467555033460753,-4.3102834117424615,4.77249002164168,4.3102834117424615,0.0,-4.3102834117424615,4.77249002164168,4.3102834117424615,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,0.10805498357519228,-0.20491451462908647,-5.625402702772368,-5.420488188143281,5.906447408020259,5.420488188143281,0.0,-5.420488188143281,5.906447408020259,5.420488188143281,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,0.5488852415421697,-0.24043207668645827,-6.170131965363417,-5.929699888676959,6.475689702453801,5.929699888676959,0.0,-5.929699888676959,6.475689702453801,5.929699888676959,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,0.9803909641425683,-0.25184204878746697,-6.15910191298333,-5.907259864195863,6.396133169574223,5.907259864195863,0.0,-5.907259864195863,6.396133169574223,5.907259864195863,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,1.4233415609764641,-0.24239931325559766,-5.676675092129963,-5.434275778874365,5.899065306775105,5.434275778874365,0.0,-5.434275778874365,5.899065306775105,5.434275778874365,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,1.9537858635293346,-0.2030188139351884,-4.731887457845108,-4.528868643909919,4.926355119688476,4.528868643909919,0.0,-4.528868643909919,4.926355119688476,4.528868643909919,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,2.6538047968629783,-0.13706273696258675,-3.208648537443666,-3.0715858004810794,3.3459180684278587,3.0715858004810794,0.0,-3.0715858004810794,3.3459180684278587,3.0715858004810794,0.0
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,4.564163102251663,-0.015308677301666851,-0.42952513180139873,-0.41421645449973193,0.5203276908522086,0.4612625433926601,0.0,-0.41421645449973193,0.5203276908522086,0.4612625433926601,0.0
