profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20277420,0.8364988525055719,0.8065,0.8065,0.7883529166543795,0.7883529166543795,0,0,0,6.511272104995442,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20277421,0.8299987133299023,0.799,0.799,0.8036412304986147,0.8036412304986147,0,0,0,5.589455809997162,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,3,0,0,3,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20277422,0.8495295917506896,0.8225,0.8225,0.8286641331990648,0.8286641331990648,0,0,0,5.175485476000176,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,0,3,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20277423,0.8409230124362267,0.809,0.809,0.8044853089765676,0.8044853089765676,0,0,0,5.545828200003598,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20277424,0.8226715480266026,0.7955,0.7955,0.7885410443232956,0.7885410443232956,0,0,0,5.659660826000618,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,3,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20277425,0.8271889867395485,0.8115,0.8115,0.7988992452651872,0.7988992452651872,0,0,0,5.514392165001482,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20277426,0.8520943769888679,0.824,0.824,0.8085959237499415,0.8085959237499415,0,0,0,5.289228652996826,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20277427,0.8361201298701298,0.8125,0.8125,0.7967542470813621,0.7967542470813621,0,0,0,6.0292228420003084,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20277428,0.8422411975542906,0.823,0.823,0.8143561597369251,0.8143561597369251,0,0,0,5.631455636997998,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20277429,0.8280167208922946,0.81,0.81,0.7952369841990738,0.7952369841990738,0,0,0,5.245248817001993,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
