profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,-2.66665688989749,-0.0082355261860144,-0.6516057921610718,-0.6433702659750573,0.6438573777339146,0.6433702659750573,0.0,-0.6433702659750573,0.6438573777339146,0.6433702659750573,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,-1.0186219743221396,-0.10057697997830162,-0.2033643666713648,-0.10278738669306316,0.10587232984910665,0.10278738669306316,0.0,-0.10278738669306316,0.10587232984910665,0.10278738669306316,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,-0.3532883086576586,-0.17583094979781044,-0.28366574565874353,-0.10783479586093313,0.11058242278472082,0.10783479586093313,0.0,-0.10783479586093313,0.11058242278472082,0.10783479586093313,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,0.14009464382231304,-0.21964690797909067,-0.36706715584402927,-0.14742024786493865,0.15083220109322315,0.14742024786493865,0.0,-0.14742024786493865,0.15083220109322315,0.14742024786493865,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,0.5775807080936514,-0.24479731728967358,-0.40619726124906874,-0.16139994395939522,0.1638459854372695,0.16139994395939522,0.0,-0.16139994395939522,0.1638459854372695,0.16139994395939522,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,1.0098632379892445,-0.24713975737252192,-0.39978968689432365,-0.1526499295218017,0.1549764459459711,0.1526499295218017,0.0,-0.1526499295218017,0.1549764459459711,0.1526499295218017,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,1.445545691520932,-0.23027418877601347,-0.33910907707420856,-0.10883488829819507,0.1125386131850385,0.10883488829819507,0.0,-0.10883488829819507,0.1125386131850385,0.10883488829819507,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,1.9746800583424389,-0.18924450143012128,-0.2458851263597088,-0.056640624929587505,0.06335827738302839,0.05727499433736134,0.0,-0.056640624929587505,0.06335827738302839,0.05727499433736134,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,2.6735094790472362,-0.12163428345990734,-0.12190498996147041,-0.00027070650156305233,0.024281293942820727,0.01868989442439563,0.0,-0.00027070650156305233,0.024281293942820727,0.01868989442439563,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,4.575803002445498,-0.012895749087681208,-0.5313843288124616,-0.5184885797247804,0.5231451671389391,0.5184885797247804,0.0,-0.5184885797247804,0.5231451671389391,0.5184885797247804,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,rf,-2.66665688989749,-0.0082355261860144,-0.32475977028896286,-0.31652424410294844,0.3383972471942978,0.3181057397752081,0.0,-0.31652424410294844,0.3383972471942978,0.3181057397752081,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,rf,-1.0186219743221396,-0.10057697997830162,-2.5017315971900715,-2.4011546172117697,2.459534869708477,2.4011546172117697,0.0,-2.4011546172117697,2.459534869708477,2.4011546172117697,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,rf,-0.3532883086576586,-0.17583094979781044,-3.78843631808783,-3.6126053682900197,3.701714690427106,3.6126053682900197,0.0,-3.6126053682900197,3.701714690427106,3.6126053682900197,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,rf,0.14009464382231304,-0.21964690797909067,-4.667516656411674,-4.447869748432583,4.551265590944975,4.447869748432583,0.0,-4.447869748432583,4.551265590944975,4.447869748432583,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,rf,0.5775807080936514,-0.24479731728967358,-5.1189664831726365,-4.874169165882962,4.9803043134967355,4.874169165882962,0.0,-4.874169165882962,4.9803043134967355,4.874169165882962,0.0
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20277420,rf_core_v1,kan_core_v1,rf,1.0098632379892445,-0.24713975737252192,-5.206346874007389,-4.959207116634867,5.070278865021439,4.959207116634867,0.0,-4.959207116634867,5.070278865021439,4.959207116634867,0.0
