profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,5,0,3,2,30,4,0,1,3,0.0,0.0,0.1,0.16666666666666666,0.13333333333333333,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20270421,0.25141267001732115,0.242,0.242,0.22646842733384726,0.22646842733384726,0,0,0,5.022102396000264,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,7,0,3,4,30,3,0,1,2,0.0,0.0,0.03333333333333333,0.23333333333333334,0.1,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20270422,0.3165760215623045,0.243,0.243,0.30015166329272336,0.30015166329272336,0,0,0,4.943395577000047,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,4,0,3,1,30,5,0,3,2,0.0,0.0,0.1,0.13333333333333333,0.16666666666666666,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20270423,0.36729583975346686,0.268,0.268,0.3467463323161047,0.3467463323161047,0,0,0,4.9190363730012905,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,0,3,30,3,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20270424,0.303045220894408,0.234,0.234,0.2607539327328746,0.2607539327328746,0,0,0,4.525284453000495,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,4,0,1,3,30,6,0,1,5,0.0,0.0,0.1,0.13333333333333333,0.2,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20270425,0.32915713845505123,0.25,0.25,0.2992589222876026,0.2992589222876026,0,0,0,5.105325149997952,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,3,0,30,4,0,1,3,0.0,0.0,0.03333333333333333,0.1,0.13333333333333333,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20270426,0.29559431394293784,0.236,0.236,0.25707763988541843,0.25707763988541843,0,0,0,4.90377687200089,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,5,0,1,4,30,4,0,3,1,0.0,0.0,0.0,0.16666666666666666,0.13333333333333333,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20270427,0.34312589517050485,0.247,0.247,0.29992332548546097,0.29992332548546097,0,0,0,5.253050293998967,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,3,0,0,3,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20270428,0.32320923010107716,0.26,0.26,0.285669360939039,0.285669360939039,0,0,0,5.152098578997538,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,4,0,3,1,30,4,0,3,1,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20270429,0.3152893353047318,0.234,0.234,0.2811001333560812,0.2811001333560812,0,0,0,4.864135825999256,3,0,0,0,0,3,0,0,0,0,30,4,0,0,4,30,6,0,3,3,30,4,0,1,3,0.0,0.0,0.13333333333333333,0.2,0.13333333333333333,0.0,0.0
