profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,y,dlate_est,true_dlate,bias,abs_error,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,-2.7169596927470874,-1.5352903104379108,-0.004349610176446451,-1.5309407002614643,1.5309407002614643,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,-1.093980738652733,-0.3817662677748109,-0.059089043906442346,-0.3226772238683685,0.3226772238683685,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,-0.42733401141770105,-0.4849806765861926,-0.12860073861304883,-0.35637993797314377,0.35637993797314377,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,0.07451108442672974,-0.7993863665945736,-0.17792367665162087,-0.6214626899429527,0.6214626899429527,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,0.5135422112255108,-0.9124706278284405,-0.21821912187115308,-0.6942515059572874,0.6942515059572874,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,0.9417277882098722,-0.7309423898567243,-0.24382437423061137,-0.48711801562611295,0.48711801562611295,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,1.3897198676984874,-0.6693578020210681,-0.2512925728354535,-0.4180652291856146,0.4180652291856146,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,1.922830847759616,-0.5453923903397399,-0.22519491177677475,-0.3201974785629651,0.3201974785629651,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,2.622633959246558,-0.2339257237931399,-0.16413623307345104,-0.06978949071968885,0.06978949071968885,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20270420,4.556139881777344,-0.6494855350923703,-0.019614279852277372,-0.6298712552400929,0.6298712552400929,0.25599354773666705,0.218,0.218,0.2249324131754752,0.2249324131754752,0,0,0,5.508036086001084
