profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,-2.7169596927470874,-0.004349610176446451,-1.8186914667111185,-1.814341856534672,1.8240331219820185,1.814341856534672,0.0,-1.814341856534672,1.8240331219820185,1.814341856534672,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,-1.093980738652733,-0.059089043906442346,-0.36309143509608766,-0.3040023911896453,0.3138167071853967,0.3040023911896453,0.0,-0.3040023911896453,0.3138167071853967,0.3040023911896453,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,-0.42733401141770105,-0.12860073861304883,-0.4987683949130994,-0.37016765630005055,0.3768865820011509,0.37016765630005055,0.0,-0.37016765630005055,0.3768865820011509,0.37016765630005055,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,0.07451108442672974,-0.17792367665162087,-0.6305532964621863,-0.45262961981056543,0.45818420422982953,0.45262961981056543,0.0,-0.45262961981056543,0.45818420422982953,0.45262961981056543,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,0.5135422112255108,-0.21821912187115308,-0.7179291986496809,-0.49971007677852775,0.5044071443304318,0.49971007677852775,0.0,-0.49971007677852775,0.5044071443304318,0.49971007677852775,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,0.9417277882098722,-0.24382437423061137,-0.7077294613370555,-0.46390508710644407,0.46968459739033375,0.46390508710644407,0.0,-0.46390508710644407,0.46968459739033375,0.46390508710644407,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,1.3897198676984874,-0.2512925728354535,-0.566987492251015,-0.31569491941556144,0.3251732485310282,0.31569491941556144,0.0,-0.31569491941556144,0.3251732485310282,0.31569491941556144,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,1.922830847759616,-0.22519491177677475,-0.3748353888864265,-0.14964047710965175,0.16091605358566963,0.14964047710965175,0.0,-0.14964047710965175,0.16091605358566963,0.14964047710965175,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,2.622633959246558,-0.16413623307345104,-0.1545022707277049,0.00963396234574614,0.057320801333027194,0.044716373636359504,0.0,0.00963396234574614,0.057320801333027194,0.044716373636359504,0.0
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,4.556139881777344,-0.019614279852277372,-1.4881021559486947,-1.4684878760964175,1.4748381921292764,1.4684878760964175,0.0,-1.4684878760964175,1.4748381921292764,1.4684878760964175,0.0
