profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,-2.0667669459602354,-0.009188554166317026,-0.22474125637729428,-0.21555270221097728,0.3914255407286177,0.2227455805449925,0.0,-0.21555270221097728,0.3914255407286177,0.2227455805449925,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,-0.7453650623208662,-0.09410925568515567,-0.3405911032557462,-0.24648184757059052,0.33093334617005793,0.24863845036300142,0.0,-0.24648184757059052,0.33093334617005793,0.24863845036300142,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,-0.21252911359652862,-0.1628346060250063,-0.3941669686689796,-0.23133236264397325,0.2588888497594415,0.23563402037856615,0.0,-0.23133236264397325,0.2588888497594415,0.23563402037856615,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,0.185831221986921,-0.21293110682218677,-0.4492085713295077,-0.23627746450732098,0.25945858822971757,0.2389231840380878,0.0,-0.23627746450732098,0.25945858822971757,0.2389231840380878,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,0.5337430563979983,-0.24536376604850213,-0.5001066101541304,-0.25474284410562825,0.2737641632848791,0.25474284410562825,0.0,-0.25474284410562825,0.2737641632848791,0.25474284410562825,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,0.8765808251914154,-0.25430057900478303,-0.5046232958387634,-0.25032271683398044,0.26269087328247404,0.25032271683398044,0.0,-0.25032271683398044,0.26269087328247404,0.25032271683398044,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,1.24274002020416,-0.23881849458756388,-0.38386572404711666,-0.14504722945955276,0.16754137624104556,0.15332898488973634,0.0,-0.14504722945955276,0.16754137624104556,0.15332898488973634,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,1.6637435004220442,-0.20634387849290936,-0.25048922052243205,-0.04414534202952268,0.09230104779539443,0.07535655791333723,0.0,-0.04414534202952268,0.09230104779539443,0.07535655791333723,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,2.232969587520531,-0.13736678694302262,-0.38810381125590426,-0.25073702431288164,0.45581593495020334,0.330283743138649,0.0,-0.25073702431288164,0.45581593495020334,0.330283743138649,0.0
full,complex_local__medium__n500__nsim50,complex_local__medium__nsim50__n500__y10__seed20281420__full,complex_local,medium,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20281420,rf_core_v1,kan_core_v1,kan,3.784871434349972,-0.015691868758915817,-0.2300012302134169,-0.21430936145450108,0.3471489060181115,0.22303857544787312,0.0,-0.21430936145450108,0.3471489060181115,0.22303857544787312,0.0
