profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,0,3,30,3,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20285421,0.8063719226509924,0.791,0.791,0.7817000988216474,0.7817000988216474,0,0,0,4.921993151001516,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,3,0,1,2,30,6,0,3,3,0.0,0.0,0.1,0.1,0.2,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20285422,0.7888229135930218,0.775,0.775,0.7780823947633978,0.7780823947633978,0,0,0,4.974340855995251,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,3,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20285423,0.7527564956356334,0.765,0.765,0.741386512260195,0.741386512260195,0,0,0,4.945830044998729,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,5,0,3,2,30,4,0,3,1,0.0,0.0,0.1,0.16666666666666666,0.13333333333333333,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20285424,0.8096679671690599,0.775,0.775,0.8025617672133682,0.8025617672133682,0,0,0,5.19000031700125,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,3,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20285425,0.7771799712888351,0.771,0.771,0.7594241262950293,0.7594241262950293,0,0,0,4.811266681004781,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,4,0,1,3,30,4,0,3,1,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20285426,0.7762987012987013,0.768,0.768,0.7563157498144685,0.7563157498144685,0,0,0,5.03477837399987,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,0,3,30,3,0,3,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20285427,0.7654541840588351,0.755,0.755,0.7248600498984284,0.7248600498984284,0,0,0,4.777280230002361,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,4,0,3,1,30,4,0,1,3,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20285428,0.7394878024091507,0.749,0.749,0.711891615135571,0.711891615135571,0,0,0,5.017490933998488,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,1,2,30,5,0,1,4,0.0,0.0,0.03333333333333333,0.1,0.16666666666666666,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20285429,0.7918117639283044,0.756,0.756,0.7609036250577529,0.7609036250577529,0,0,0,4.944245017002686,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,1,2,30,4,0,3,1,0.0,0.0,0.03333333333333333,0.1,0.13333333333333333,0.0,0.0
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,10,20285430,0.7764642488410645,0.768,0.768,0.7452815808229787,0.7452815808229787,0,0,0,5.4158341140064294,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
