profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,y,dlate_est,true_dlate,bias,abs_error,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,-2.0861216382228847,-0.6961045552332223,-0.010181970080672533,-0.6859225851525498,0.6859225851525498,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,-0.7360225906910121,-0.16249499347129823,-0.10260292927446937,-0.059892064196828854,0.059892064196828854,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,-0.20890163998249225,-0.26525530439729755,-0.17225804767250608,-0.09299725672479148,0.09299725672479148,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,0.19296759624333934,-0.3900105958024499,-0.21810302065112394,-0.17190757515132596,0.17190757515132596,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,0.5475588032229506,-0.4065869405037756,-0.24663864449259848,-0.1599482960111771,0.1599482960111771,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,0.8993070004632052,-0.407532510124735,-0.252747826541002,-0.15478468358373304,0.15478468358373304,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,1.2708699010455702,-0.32614692716119337,-0.23157455029632146,-0.09457237686487191,0.09457237686487191,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,1.6946194253910267,-0.21695882123338772,-0.1953110722397723,-0.021647748993615434,0.021647748993615434,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,2.260192739848693,-0.13052682274126642,-0.127848993551419,-0.002677829189847436,0.002677829189847436,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
full,complex_local__strong__n1000__nsim50,complex_local__strong__nsim50__n1000__y10__seed20285420__full,complex_local,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20285420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20285420,3.820754546067931,-0.5706250252718135,-0.013314883951648704,-0.5573101413201648,0.5573101413201648,0.7709196638195225,0.763,0.763,0.7559437725766789,0.7559437725766789,0,0,0,5.715965221999795
