profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,y,dlate_est,true_dlate,bias,abs_error,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,-2.058825848564476,-0.04523132503080303,-0.009267631103074141,-0.035963693927728885,0.035963693927728885,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,-0.7501909905515641,-0.8070974815057425,-0.08295660036166366,-0.7241408811440788,0.7241408811440788,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,-0.22127936553062727,-1.0866517940877487,-0.14364828209764918,-0.9430035119900995,0.9430035119900995,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,0.17403460030357734,-1.3331089865073584,-0.2035488245931284,-1.1295601619142301,1.1295601619142301,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,0.5214683829304213,-1.341892268424146,-0.23858499095840863,-1.1033072774657375,1.1033072774657375,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,0.8574233048570674,-1.378688299166353,-0.2509041591320072,-1.1277841400343458,1.1277841400343458,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,1.2179672368143948,-0.8995914368049471,-0.2467224231464738,-0.6528690136584734,0.6528690136584734,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,1.6284315828384108,-0.6591134252011721,-0.21745027124773952,-0.4416631539534326,0.4416631539534326,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,2.196588654420764,-1.10852586331813,-0.1517857142857143,-0.9567401490324158,0.9567401490324158,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
full,complex_local__weak__n500__nsim50,complex_local__weak__nsim50__n500__y10__seed20278420__full,complex_local,weak,500,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20278420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20278420,3.7212439129919943,-1.7186651329474227,-0.020343580470162714,-1.69832155247726,1.69832155247726,0.18181818181818182,0.186,0.186,0.1773779816025043,0.1773779816025043,0,0,0,5.322795619002136
