profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,scenario_signed_bias,scenario_mean_abs_error,scenario_integrated_rmse,scenario_nan_rate,replications,mean_sample_first_stage,min_sample_first_stage,weak_first_stage_share,mean_true_complier_share,mean_true_first_stage,mean_abs_psi_beta,near_zero_denominator_share,fragile_denominator_share,mean_runtime_sec,median_runtime_sec,total_runtime_sec,mean_pi_clip_rate,mean_p_clip_rate,mean_pi_fallback_rate,mean_p_fallback_rate,mean_mu_fallback_rate,mean_mu_w1_fallback_rate,mean_mu_w0_fallback_rate,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,50000,1729,20273420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.2596592697806127,0.26497257953993,0.3623834824198111,0.0,50,0.6073474307186449,0.5659256731503599,0.0,0.56158,0.56158,0.5748646015302457,0.0,0.0,5.7832725306799695,5.766537706502277,289.16362653399847,0.0,0.0,0.0,0.0,0.0293333333333333,0.1266666666666666,0.1153333333333333,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__medium__n1000__nsim50,baseline__medium__nsim50__n1000__y10__seed20273420__full,baseline,medium,1000,50,10,3,25,50000,1729,20273420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-2.9136358815872963,2.916428086326368,3.571815865880573,0.0,50,0.6073474307186449,0.5659256731503599,0.0,0.56158,0.56158,0.0657854849812392,0.0,0.0,7.822502065359149,7.824534176499583,391.1251032679575,4e-05,0.00226,0.0,0.0,0.0,0.0753333333333333,0.0593333333333333,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,50000,1729,20274420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.2838415550704706,0.2864050241526686,0.3999833779612396,0.0,50,0.6068477953981687,0.5719001610305958,0.0,0.56055,0.56055,0.5735707680187292,0.0,0.0,5.484550371679652,5.374106878502062,274.2275185839826,0.0,0.0,0.0,0.0,0.0,0.1006666666666666,0.1,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__medium__n2000__nsim50,baseline__medium__nsim50__n2000__y10__seed20274420__full,baseline,medium,2000,50,10,3,25,50000,1729,20274420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-3.811366915871973,3.8161679754805022,4.6943541437427605,0.0,50,0.6068477953981687,0.5719001610305958,0.0,0.56055,0.56055,0.0499786064218248,0.0,0.02,11.85526818992017,11.767690160500932,592.7634094960085,2e-05,0.00212,0.0,0.0,0.0,0.0573333333333333,0.03,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__medium__n500__nsim50,baseline__medium__nsim50__n500__y10__seed20272420__full,baseline,medium,500,50,10,3,25,50000,1729,20272420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.2213748479891278,0.228810962863865,0.3219924330609685,0.0,50,0.5995830531269235,0.527046842520827,0.0,0.55204,0.55204,0.5695364943111738,0.0,0.0,4.977243260819887,4.846754661999512,248.86216304099435,0.0,0.0,0.0,0.0,0.1473333333333333,0.2366666666666667,0.1953333333333333,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__medium__n500__nsim50,baseline__medium__nsim50__n500__y10__seed20272420__full,baseline,medium,500,50,10,3,25,50000,1729,20272420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-2.269731640504365,2.274131817219041,3.0273726072682487,0.0,50,0.5995830531269235,0.527046842520827,0.0,0.55204,0.55204,0.095228982228048,0.0,0.02,6.629359937199842,6.588923634501043,331.4679968599921,0.0,0.0014,0.0,0.0,0.008,0.0973333333333333,0.0806666666666666,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__strong__n1000__nsim50,baseline__strong__nsim50__n1000__y10__seed20276420__full,baseline,strong,1000,50,10,3,25,50000,1729,20276420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.1791146451009009,0.1812468399410137,0.2488476850389191,0.0,50,0.8404489300835106,0.783859649122807,0.0,0.8156399999999999,0.8156399999999999,0.8111861660191182,0.0,0.0,5.781318477960303,5.76040496099813,289.0659238980152,0.0,0.0,0.0,0.0,0.0286666666666666,0.12,0.1186666666666666,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__strong__n1000__nsim50,baseline__strong__nsim50__n1000__y10__seed20276420__full,baseline,strong,1000,50,10,3,25,50000,1729,20276420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-4.169630344619013,4.17104918929729,14.870655136599588,0.0,50,0.8404489300835106,0.783859649122807,0.0,0.8156399999999999,0.8156399999999999,0.0790582421250746,0.0,0.02,8.182360149039596,8.069501291996858,409.1180074519798,2e-05,0.02468,0.0,0.0,0.0,0.074,0.0546666666666666,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,50000,1729,20277420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.1999697369329315,0.2018750926659921,0.283293657157112,0.0,50,0.8344978725772952,0.7958999095568284,0.0,0.8124800000000001,0.8124800000000001,0.8038395605612636,0.0,0.0,18.06140368057968,25.07377257499684,903.070184028984,0.0,0.0,0.0,0.0,0.0,0.1006666666666666,0.0986666666666666,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__strong__n2000__nsim50,baseline__strong__nsim50__n2000__y10__seed20277420__full,baseline,strong,2000,50,10,3,25,50000,1729,20277420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-3.1824039293467634,3.182562078913989,3.6796700703440903,0.0,50,0.8344978725772952,0.7958999095568284,0.0,0.8124800000000001,0.8124800000000001,0.0553833170322762,0.0,0.0,26.094238066219987,33.98319546300263,1304.711903310999,0.0,0.03024,0.0,0.0,0.0,0.056,0.0326666666666666,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__strong__n500__nsim50,baseline__strong__nsim50__n500__y10__seed20275420__full,baseline,strong,500,50,10,3,25,50000,1729,20275420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.1369292620389515,0.1405162408256033,0.1891621991450557,0.0,50,0.8376303658980173,0.7613870303654143,0.0,0.81448,0.81448,0.8089024433896441,0.0,0.0,6.215621032160271,5.149098657497234,310.7810516080135,0.0,0.0,0.0,0.0,0.1493333333333333,0.2046666666666667,0.21,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__strong__n500__nsim50,baseline__strong__nsim50__n500__y10__seed20275420__full,baseline,strong,500,50,10,3,25,50000,1729,20275420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-1.740465635746942,1.745604027572634,2.040278197816311,0.0,50,0.8376303658980173,0.7613870303654143,0.0,0.81448,0.81448,0.1133142097565063,0.0,0.0,6.06105824061975,6.027183567002794,303.0529120309875,4e-05,0.01576,0.0,0.0,0.0053333333333333,0.084,0.084,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,50000,1729,20270420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.4889496516406934,0.5013582222719675,0.6899471359117814,0.0,50,0.3125521616219008,0.2514126700173211,0.0,0.24588,0.24588,0.2813331245106852,0.0,0.0,5.155191051100046,5.166364674998476,257.7595525550023,0.0,0.0,0.0,0.0,0.0486666666666666,0.1413333333333333,0.1286666666666666,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__weak__n1000__nsim50,baseline__weak__nsim50__n1000__y10__seed20270420__full,baseline,weak,1000,50,10,3,25,50000,1729,20270420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-5.053582100246391,5.059386752901832,8.744745411589392,0.0,50,0.3125521616219008,0.2514126700173211,0.0,0.24588,0.24588,0.0498946105434126,0.0,0.08,7.710611342040065,7.716580338001222,385.53056710200326,2e-05,6e-05,0.0,0.0,0.0,0.0753333333333333,0.0573333333333333,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,50000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.5828945997995789,0.5883296333977895,0.8101017954468506,0.0,50,0.3178789642558149,0.2702792620223813,0.0,0.24563,0.24563,0.2874735605096574,0.0,0.0,5.190987595039988,5.150338802999613,259.54937975199937,0.0,0.0,0.0,0.0,0.0006666666666666,0.1,0.1,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
full,baseline__weak__n2000__nsim50,baseline__weak__nsim50__n2000__y10__seed20271420__full,baseline,weak,2000,50,10,3,25,50000,1729,20271420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-8.258458035827086,8.259292002956492,12.700675118045975,0.0,50,0.3178789642558149,0.2702792620223813,0.0,0.24563,0.24563,0.0306591368096145,0.0,0.28,11.3181660876792,11.24914158899992,565.9083043839601,1e-05,0.0002,0.0,0.0,0.0,0.0726666666666666,0.0373333333333333,16.0,4.0,3.0,0.001,0.0001,0.0001,5.0,1e-06
