profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20267420,0.7439109756439025,0.755,0.755,0.7219480836325669,0.7219480836325669,0,0,0,6.676325877000636,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,4,0,0,4,30,6,0,3,3,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20267421,0.7218096286657991,0.75,0.75,0.7035703781592506,0.7035703781592506,0,0,0,5.753848685999401,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,0,3,30,5,0,1,4,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20267422,0.7905363107282339,0.762,0.762,0.7557293611784505,0.7557293611784505,0,0,0,6.063667425998574,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,0,3,30,5,0,3,2,0.0,0.0,0.03333333333333333,0.1,0.16666666666666666,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20267423,0.7779866332497911,0.76,0.76,0.7447089289391036,0.7447089289391036,0,0,0,5.557379333997233,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,4,0,0,4,30,5,0,3,2,0.0,0.0,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20267424,0.7838871355485422,0.757,0.757,0.7361449191935265,0.7361449191935265,0,0,0,5.651744868999231,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,0,3,30,4,0,3,1,0.0,0.0,0.0,0.1,0.13333333333333333,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20267425,0.7594457630380397,0.743,0.743,0.7446466906549426,0.7446466906549426,0,0,0,6.068879492999258,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,0,3,30,6,0,3,3,0.0,0.0,0.03333333333333333,0.1,0.2,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20267426,0.7567793477037823,0.736,0.736,0.7454289646790345,0.7454289646790345,0,0,0,5.777692888001184,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,4,0,3,1,30,6,0,3,3,0.0,0.0,0.1,0.13333333333333333,0.2,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20267427,0.7678251408090118,0.73,0.73,0.7543425452293328,0.7543425452293328,0,0,0,5.935304544000246,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,3,0,1,2,30,6,0,0,6,0.0,0.0,0.1,0.1,0.2,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20267428,0.7706832218219248,0.746,0.746,0.7422769280846492,0.7422769280846492,0,0,0,5.996222177000163,3,0,0,0,0,3,0,0,0,0,30,3,0,0,3,30,3,0,3,0,30,6,0,3,3,0.0,0.0,0.1,0.1,0.2,0.0,0.0
full,smooth_low__strong__n1000__nsim50,smooth_low__strong__nsim50__n1000__y10__seed20267420__full,smooth_low,strong,1000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20267429,0.7627534741556958,0.762,0.762,0.7181198401061484,0.7181198401061484,0,0,0,5.553442252999957,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,3,0,1,2,30,6,0,1,5,0.0,0.0,0.06666666666666667,0.1,0.2,0.0,0.0
