profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,kan_hidden_dim,kan_grid_size,kan_spline_order,kan_lr,kan_weight_decay,kan_reg_strength,kan_min_class_count,probability_epsilon,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,-1.9995391609771775,-0.004812216038927872,-0.5944239134832435,-0.5896116974443156,0.6127072271748797,0.5966996523018324,0.0,-0.5896116974443156,0.6127072271748797,0.5966996523018324,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,-0.898916145565559,-0.0711616528214641,-0.17248813768688034,-0.10132648486541626,0.10411900254037268,0.10132648486541626,0.0,-0.10132648486541626,0.10411900254037268,0.10132648486541626,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,-0.4793254730652832,-0.13570986907546306,-0.27720498972164337,-0.1414951206461803,0.1452790640289734,0.1414951206461803,0.0,-0.1414951206461803,0.1452790640289734,0.1414951206461803,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,-0.15887133568485334,-0.18469231389628193,-0.3828038637569346,-0.19811154986065269,0.2012254506615138,0.19811154986065269,0.0,-0.19811154986065269,0.2012254506615138,0.19811154986065269,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,0.12292434118275394,-0.22187273167190902,-0.44164129908510685,-0.2197685674131979,0.22221731524307675,0.2197685674131979,0.0,-0.2197685674131979,0.22221731524307675,0.2197685674131979,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,0.4084474162550569,-0.23934725918756888,-0.4525056028600106,-0.21315834367244174,0.2153866327575901,0.21315834367244174,0.0,-0.21315834367244174,0.2153866327575901,0.21315834367244174,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,0.7087180736239561,-0.2314702798612791,-0.40783607208489836,-0.1763657922236192,0.17966966203525764,0.1763657922236192,0.0,-0.1763657922236192,0.17966966203525764,0.1763657922236192,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,1.0608151197724207,-0.20117213753797347,-0.3216377024800994,-0.12046556494212596,0.12355379022095035,0.12046556494212596,0.0,-0.12046556494212596,0.12355379022095035,0.12046556494212596,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,1.5423484096588358,-0.13277952523052938,-0.18472279359344015,-0.051943268362910765,0.05756207075208909,0.05200599148758787,0.0,-0.051943268362910765,0.05756207075208909,0.05200599148758787,0.0
full,smooth_low__strong__n2000__nsim50,smooth_low__strong__nsim50__n2000__y10__seed20268420__full,smooth_low,strong,2000,50,10,3,25,16,4,3,0.001,0.0001,0.0001,5,1e-06,50000,1729,20268420,rf_core_v1,kan_core_v1,kan,2.7774734566814545,-0.01392585423555659,-0.6430540763497643,-0.6291282221142077,0.6296656833367579,0.6291282221142077,0.0,-0.6291282221142077,0.6296656833367579,0.6291282221142077,0.0
