profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,0.7183838383838383,0.744,0.744,0.7069790709224021,0.7069790709224021,0,0,0,4.9161959730008675,3,0,0,0,0,3,0,0,0,0,30,6,0,1,5,30,6,0,4,2,30,9,0,3,6,0.0,0.0,0.2,0.2,0.3,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20266421,0.7327298407806883,0.716,0.716,0.7112302849086379,0.7112302849086379,0,0,0,3.981154727000103,3,0,0,0,0,3,0,0,0,0,30,5,0,0,5,30,6,0,3,3,30,9,0,3,6,0.0,0.0,0.16666666666666666,0.2,0.3,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20266422,0.7699666153055984,0.752,0.752,0.7597103818973638,0.7597103818973638,0,0,0,4.143787919998431,3,0,0,0,0,3,0,0,0,0,30,5,0,0,5,30,5,0,3,2,30,8,0,3,5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20266423,0.7006021678040948,0.74,0.74,0.6825730051008576,0.6825730051008576,0,0,0,4.797164594998321,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,1,2,30,5,0,3,2,0.0,0.0,0.03333333333333333,0.1,0.16666666666666666,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20266424,0.7632869793268686,0.75,0.75,0.7515390238534823,0.7515390238534823,0,0,0,4.838946952997503,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,4,0,1,3,30,6,0,3,3,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20266425,0.7902974917363407,0.762,0.762,0.7511731707579412,0.7511731707579412,0,0,0,4.037594975998218,3,0,0,0,0,3,0,0,0,0,30,6,0,0,6,30,6,0,0,6,30,9,0,4,5,0.0,0.0,0.2,0.2,0.3,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20266426,0.7403773705894612,0.752,0.752,0.7301712413296164,0.7301712413296164,0,0,0,4.2429328430007445,3,0,0,0,0,3,0,0,0,0,30,5,0,1,4,30,5,0,1,4,30,9,0,4,5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20266427,0.6977401129943503,0.71,0.71,0.6768703064642742,0.6768703064642742,0,0,0,4.181564386999526,3,0,0,0,0,3,0,0,0,0,30,5,0,0,5,30,6,0,3,3,30,8,0,3,5,0.0,0.0,0.16666666666666666,0.2,0.26666666666666666,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20266428,0.7717948717948717,0.77,0.77,0.7547132298613608,0.7547132298613608,0,0,0,4.259101957999519,3,0,0,0,0,3,0,0,0,0,30,6,0,0,6,30,6,0,1,5,30,6,0,1,5,0.0,0.0,0.2,0.2,0.2,0.0,0.0
full,smooth_low__strong__n500__nsim50,smooth_low__strong__nsim50__n500__y10__seed20266420__full,smooth_low,strong,500,50,10,3,25,50000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20266429,0.7147187822497421,0.694,0.694,0.6836502990895951,0.6836502990895951,0,0,0,4.09267557199928,3,0,0,0,0,3,0,0,0,0,30,4,0,0,4,30,5,0,1,4,30,9,0,1,8,0.0,0.0,0.13333333333333333,0.16666666666666666,0.3,0.0,0.0
