profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20261420,0.17879053461875544,0.135,0.135,0.15746827985076886,0.15746827985076886,0,0,0,5.485221616996569,3,0,0,0,0,3,0,0,0,0,30,2,0,0,2,30,4,0,1,3,30,4,0,3,1,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20261421,0.24322889006903875,0.163,0.163,0.2204805210075021,0.2204805210075021,0,0,0,4.680888038001285,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,4,0,1,3,30,3,0,1,2,0.0,0.0,0.0,0.13333333333333333,0.1,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20261422,0.19973976578921027,0.141,0.141,0.17382771575599842,0.17382771575599842,0,0,0,4.693725056000403,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,1,2,30,4,0,3,1,0.0,0.0,0.0,0.1,0.13333333333333333,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20261423,0.18806038407997722,0.15,0.15,0.17541208391718252,0.17541208391718252,0,0,0,4.580968189999112,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,0,3,30,5,0,3,2,0.0,0.0,0.03333333333333333,0.1,0.16666666666666666,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20261424,0.23073880810844627,0.156,0.156,0.1952824559665156,0.1952824559665156,0,0,0,4.704798910999671,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,1,2,30,5,0,3,2,0.0,0.0,0.03333333333333333,0.1,0.16666666666666666,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20261425,0.2098990942921578,0.162,0.162,0.17973853812878554,0.17973853812878554,0,0,0,5.061566661999677,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,1,2,30,4,0,3,1,0.0,0.0,0.03333333333333333,0.1,0.13333333333333333,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20261426,0.17587237324079436,0.139,0.139,0.15938623549671715,0.15938623549671715,0,0,0,4.9448141979992215,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,4,0,0,4,30,5,0,0,5,0.0,0.0,0.03333333333333333,0.13333333333333333,0.16666666666666666,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20261427,0.15834340478336617,0.133,0.133,0.1381391475278317,0.1381391475278317,0,0,0,4.9478325830023095,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,1,2,30,4,0,3,1,0.0,0.0,0.03333333333333333,0.1,0.13333333333333333,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20261428,0.18568064211217733,0.148,0.148,0.1572697176401694,0.1572697176401694,0,0,0,5.211061600999528,3,0,0,0,0,3,0,0,0,0,30,1,0,0,1,30,3,0,3,0,30,4,0,3,1,0.0,0.0,0.03333333333333333,0.1,0.13333333333333333,0.0,0.0
full,smooth_low__weak__n1000__nsim50,smooth_low__weak__nsim50__n1000__y10__seed20261420__full,smooth_low,weak,1000,50,10,3,25,50000,1729,20261420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20261429,0.14364385488895587,0.136,0.136,0.135313046923434,0.135313046923434,0,0,0,5.13765481000155,3,0,0,0,0,3,0,0,0,0,30,0,0,0,0,30,3,0,3,0,30,3,0,1,2,0.0,0.0,0.0,0.1,0.1,0.0,0.0
