profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,-2.0006430525363985,-0.005003950487226759,-0.5641450581405038,-0.559141107653277,0.9603259748735214,0.5670335963168847,0.0,-0.559141107653277,0.9603259748735214,0.5670335963168847,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,-0.9063582162994132,-0.060969186199631285,-0.6113789813297855,-0.5504097951301542,0.6544156881297916,0.5504097951301542,0.0,-0.5504097951301542,0.6544156881297916,0.5504097951301542,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,-0.48558776501888196,-0.12562549381090335,-0.7651871053660599,-0.6395616115551566,0.7246457279042969,0.6395616115551566,0.0,-0.6395616115551566,0.7246457279042969,0.6395616115551566,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,-0.16857695098965694,-0.17500658414537795,-0.983215031252624,-0.808208447107246,0.9006133100868171,0.8092765184323035,0.0,-0.808208447107246,0.9006133100868171,0.8092765184323035,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,0.11210776459912555,-0.2167500658414538,-1.1376124702572414,-0.9208624044157875,0.9957362215575909,0.9208624044157875,0.0,-0.9208624044157875,0.9957362215575909,0.9208624044157875,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,0.3938393823143246,-0.24716881748749014,-1.1174336361943478,-0.8702648187068576,0.9260374380943068,0.8702648187068576,0.0,-0.8702648187068576,0.9260374380943068,0.8702648187068576,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,0.6923047993838453,-0.2473005003950487,-0.9495799196918342,-0.7022794192967856,0.7663800905332113,0.7022794192967856,0.0,-0.7022794192967856,0.7663800905332113,0.7022794192967856,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,1.0392662699723887,-0.22214906505135634,-0.6583735940439062,-0.4362245289925498,0.5077085986439667,0.4364000229426007,0.0,-0.4362245289925498,0.5077085986439667,0.4364000229426007,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,1.5210231058453096,-0.15064524624703712,-1.8673276426410121,-1.7166823963939748,2.0596723002841113,1.7166823963939748,0.0,-1.7166823963939748,2.0596723002841113,1.7166823963939748,0.0
full,smooth_low__weak__n500__nsim50,smooth_low__weak__nsim50__n500__y10__seed20260420__full,smooth_low,weak,500,50,10,3,25,50000,1729,20260420,rf_core_v1,kan_core_v1,kan,2.7687217436325167,-0.017777192520410767,-0.7590053250510307,-0.7412281325306199,1.2629527570678905,0.7455102562008349,0.0,-0.7412281325306199,1.2629527570678905,0.7455102562008349,0.0
