profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20267420,0.843936507936508,0.8225,0.8225,0.7981773791239207,0.7981773791239207,0,0,0,4.082553923002706,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,3,0,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20267421,0.8243356553147575,0.7935,0.7935,0.7853609126700992,0.7853609126700992,0,0,0,4.189351224002166,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20267422,0.8243043144749561,0.8025,0.8025,0.8007917282873203,0.8007917282873203,0,0,0,3.9796119580023515,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20267423,0.8462545157388416,0.8115,0.8115,0.8077287870601879,0.8077287870601879,0,0,0,3.996854794000683,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20267424,0.8411709148162596,0.8155,0.8155,0.8078878543273167,0.8078878543273167,0,0,0,3.919945009998628,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20267425,0.8467730912573822,0.8295,0.8295,0.8224890895874244,0.8224890895874244,0,0,0,4.079620525997598,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,3,0,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20267426,0.8391040549186318,0.826,0.826,0.7998189619808708,0.7998189619808708,0,0,0,3.9220792519990937,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20267427,0.8153799206591394,0.808,0.808,0.7747451168399142,0.7747451168399142,0,0,0,4.149874711998564,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20267428,0.8416559449027473,0.82,0.82,0.7959363425485625,0.7959363425485625,0,0,0,4.186040735999995,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20267429,0.8449494949494949,0.8085,0.8085,0.8126259824657479,0.8126259824657479,0,0,0,4.014042367998627,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,0,20267420,0.843936507936508,0.8225,0.8225,0.059243305840443114,0.059243305840443114,0,0,0,8.966181829997367,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,3,0,24,0,0,0,0,0.0,0.0,0.0,0.125,0.0,0.0,0.0325
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,1,20267421,0.8243356553147575,0.7935,0.7935,0.05433075295184511,0.05433075295184511,0,0,0,9.014417333997699,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,1,0,1,0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0295
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,2,20267422,0.8243043144749561,0.8025,0.8025,0.05168250396254485,0.05168250396254485,0,0,0,9.117092533000687,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,0,0,0,0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0305
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,3,20267423,0.8462545157388416,0.8115,0.8115,0.055064632765357946,0.055064632765357946,0,0,0,8.984986235998804,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,1,0,1,0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0355
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,4,20267424,0.8411709148162596,0.8155,0.8155,0.03680959001198827,0.03680959001198827,0,0,0,9.05515813799866,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,5,20267425,0.8467730912573822,0.8295,0.8295,0.0704989086106343,0.0704989086106343,0,0,0,8.700921841002128,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,3,0,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0305
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,6,20267426,0.8391040549186318,0.826,0.826,0.04525248641174646,0.04525248641174646,0,0,0,9.098112068000773,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,1,0,1,0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0365
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,7,20267427,0.8153799206591394,0.808,0.808,0.05648849359530232,0.05648849359530232,0,0,0,9.266297483998642,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,0,0,0,0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.025
