profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,y,dlate_est,true_dlate,bias,abs_error,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,-2.7035280339984245,-0.021257844348561646,-0.007120058924625583,-0.014137785423936063,0.014137785423936063,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,-0.8127946026844409,-0.27912073153199835,-0.12750634258122595,-0.1516143889507724,0.1516143889507724,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,-0.06572320772372146,-0.34630539313985165,-0.20071200589246257,-0.14559338724738907,0.14559338724738907,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,0.5265520687023602,-0.2982901636677226,-0.24335051968246174,-0.054939643985260855,0.054939643985260855,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,1.0827375752278046,-0.26253765927110406,-0.24813814551108931,-0.014399513760014748,0.014399513760014748,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,1.6677225743480715,-0.16362680208316252,-0.2147475243473279,0.05112072226416539,0.05112072226416539,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,2.445720686948039,-0.01546429096149509,-0.14317865619117764,0.12771436522968255,0.12771436522968255,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20266420,4.573296042148181,-0.36216728171988843,-0.012521482936410533,-0.3496457987834779,0.3496457987834779,0.8149972632731253,0.802,0.802,0.7699328570890082,0.7699328570890082,0,0,0,3.7313328640011605
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20266421,-2.7035280339984245,-0.3012423469985428,-0.007120058924625583,-0.2941222880739172,0.2941222880739172,0.8393217337116056,0.784,0.784,0.8209899944131865,0.8209899944131865,0,0,0,3.4738027429993963
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20266421,-0.8127946026844409,-0.2708400671674141,-0.12750634258122595,-0.14333372458618815,0.14333372458618815,0.8393217337116056,0.784,0.784,0.8209899944131865,0.8209899944131865,0,0,0,3.4738027429993963
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20266421,-0.06572320772372146,-0.3329692203506703,-0.20071200589246257,-0.1322572144582077,0.1322572144582077,0.8393217337116056,0.784,0.784,0.8209899944131865,0.8209899944131865,0,0,0,3.4738027429993963
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20266421,0.5265520687023602,-0.33650604381240024,-0.24335051968246174,-0.0931555241299385,0.0931555241299385,0.8393217337116056,0.784,0.784,0.8209899944131865,0.8209899944131865,0,0,0,3.4738027429993963
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20266421,1.0827375752278046,-0.32348047854516065,-0.24813814551108931,-0.07534233303407134,0.07534233303407134,0.8393217337116056,0.784,0.784,0.8209899944131865,0.8209899944131865,0,0,0,3.4738027429993963
