profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,-2.7035280339984245,-0.007120058924625583,-0.15203752437978005,-0.14491746545515446,0.23345849932961052,0.14558966829584793,0.0,-0.14491746545515446,0.23345849932961052,0.14558966829584793,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,-0.8127946026844409,-0.12750634258122595,-0.22481729725872718,-0.09731095467750124,0.11171296107130972,0.09731095467750124,0.0,-0.09731095467750124,0.11171296107130972,0.09731095467750124,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,-0.06572320772372146,-0.20071200589246257,-0.31006650048781104,-0.10935449459534848,0.1185324121489814,0.10935449459534848,0.0,-0.10935449459534848,0.1185324121489814,0.10935449459534848,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,0.5265520687023602,-0.24335051968246174,-0.3524813625012073,-0.10913084281874559,0.11998087344536107,0.10913084281874559,0.0,-0.10913084281874559,0.11998087344536107,0.10913084281874559,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,1.0827375752278046,-0.24813814551108931,-0.3368306648859908,-0.0886925193749015,0.09971108533195742,0.0886925193749015,0.0,-0.0886925193749015,0.09971108533195742,0.0886925193749015,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,1.6677225743480715,-0.2147475243473279,-0.2583543316772186,-0.04360680732989068,0.06148893367666991,0.05383095178272377,0.0,-0.04360680732989068,0.06148893367666991,0.05383095178272377,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,2.445720686948039,-0.14317865619117764,-0.1296444828145096,0.01353417337666804,0.09395414964544611,0.06696215203816282,0.0,0.01353417337666804,0.09395414964544611,0.06696215203816282,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,4.573296042148181,-0.012521482936410533,-0.17137702016471534,-0.15885553722830478,0.2507246898401903,0.17037949507373804,0.0,-0.15885553722830478,0.2507246898401903,0.17037949507373804,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,rf,-2.7035280339984245,-0.007120058924625583,-0.21050525321519115,-0.20338519429056556,0.24194928922642428,0.21192800442911222,0.0,-0.20338519429056556,0.24194928922642428,0.21192800442911222,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,rf,-0.8127946026844409,-0.12750634258122595,-1.5932524236498986,-1.4657460810686727,1.521982286000819,1.4657460810686727,0.0,-1.4657460810686727,1.521982286000819,1.4657460810686727,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,rf,-0.06572320772372146,-0.20071200589246257,-2.315221964878776,-2.1145099589863134,2.2307261135642094,2.1145099589863134,0.0,-2.1145099589863134,2.2307261135642094,2.1145099589863134,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,rf,0.5265520687023602,-0.24335051968246174,-2.506748664870375,-2.2633981451879137,2.3879119207501938,2.2633981451879137,0.0,-2.2633981451879137,2.3879119207501938,2.2633981451879137,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,rf,1.0827375752278046,-0.24813814551108931,-2.69552176412967,-2.447383618618581,2.5094173110551803,2.447383618618581,0.0,-2.447383618618581,2.5094173110551803,2.447383618618581,0.0
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,rf,1.6677225743480715,-0.2147475243473279,-2.2566637915154706,-2.0419162671681432,2.067360918860494,2.0419162671681432,0.0,-2.0419162671681432,2.067360918860494,2.0419162671681432,0.0
