profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20271420,0.7534544155206087,0.761,0.761,0.7157225490367396,0.7157225490367396,0,0,0,3.920738897002593,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20271421,0.761687979539642,0.7745,0.7745,0.7311047381497859,0.7311047381497859,0,0,0,3.882794886998454,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20271422,0.737902695695509,0.752,0.752,0.7063671610332736,0.7063671610332736,0,0,0,3.915962318998936,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20271423,0.7597919702311408,0.7575,0.7575,0.7208455247596366,0.7208455247596366,0,0,0,4.0779434150026646,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20271424,0.7498386322129871,0.7625,0.7625,0.7234699429498214,0.7234699429498214,0,0,0,4.053440232997673,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20271425,0.7394366197183099,0.756,0.756,0.7142972021635385,0.7142972021635385,0,0,0,4.200099801000761,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20271426,0.7759293820830784,0.7795,0.7795,0.753259427713504,0.753259427713504,0,0,0,4.0907544039982895,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20271427,0.7521562851540667,0.7625,0.7625,0.7164175119153902,0.7164175119153902,0,0,0,4.139160252998408,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,2,0,0,2,24,3,0,3,0,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20271428,0.7851515151515152,0.785,0.785,0.7719120488535662,0.7719120488535662,0,0,0,4.105744358002994,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,0,1,24,3,0,0,3,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20271429,0.7393644680609044,0.742,0.742,0.7264303027719682,0.7264303027719682,0,0,0,4.00734299800024,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0
