profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,y,true_dlate,mean_estimate,bias,rmse,mae,nan_rate,pointwise_bias,pointwise_rmse,pointwise_mae,pointwise_nan_rate
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,-2.079879574396232,-0.009438455210633415,-0.1321203248599171,-0.12268186964928367,0.18931778931988347,0.12418271061319926,0.0,-0.12268186964928367,0.18931778931988347,0.12418271061319926,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,-0.5591981391718289,-0.12395549205524527,-0.2689763205225469,-0.14502082846730163,0.15694091794246876,0.14502082846730163,0.0,-0.14502082846730163,0.15694091794246876,0.14502082846730163,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,0.030567932755841076,-0.20461531800666752,-0.36506329763750545,-0.16044797963083793,0.17353935121629438,0.16044797963083793,0.0,-0.16044797963083793,0.17353935121629438,0.16044797963083793,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,0.49362239472828756,-0.24301857384075848,-0.41498742195734906,-0.17196884811659055,0.18126429234130956,0.17196884811659055,0.0,-0.17196884811659055,0.18126429234130956,0.17196884811659055,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,0.9462497312576622,-0.25146122873100407,-0.38261251937431634,-0.13115129064331227,0.1421213067197999,0.13115129064331227,0.0,-0.13115129064331227,0.1421213067197999,0.13115129064331227,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,1.4301062657193766,-0.22574360306533325,-0.266208945759409,-0.04046534269407574,0.07329291833618595,0.06180975545361249,0.0,-0.04046534269407574,0.07329291833618595,0.06180975545361249,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,2.084994231557355,-0.15300688401091045,-0.20904018043309353,-0.05603329642218304,0.1462666604726219,0.10706907662938411,0.0,-0.05603329642218304,0.1462666604726219,0.10706907662938411,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,kan,3.83022120533295,-0.013464952158289023,-0.11861156282807381,-0.10514661066978478,0.17844808096294396,0.11333971427248986,0.0,-0.10514661066978478,0.17844808096294396,0.11333971427248986,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,rf,-2.079879574396232,-0.009438455210633415,-0.2444881429081945,-0.2350496876975611,0.26675633620264655,0.2350496876975611,0.0,-0.2350496876975611,0.26675633620264655,0.2350496876975611,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,rf,-0.5591981391718289,-0.12395549205524527,-1.7789296100134095,-1.654974117958164,1.6880312256024859,1.654974117958164,0.0,-1.654974117958164,1.6880312256024859,1.654974117958164,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,rf,0.030567932755841076,-0.20461531800666752,-2.5632539547526796,-2.3586386367460124,2.390195861556399,2.3586386367460124,0.0,-2.3586386367460124,2.390195861556399,2.3586386367460124,0.0
pilot,complex_local__strong__n500__nsim10,complex_local__strong__nsim10__n500__y8__seed20270420__pilot,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,rf,0.49362239472828756,-0.24301857384075848,-2.8334823276762444,-2.5904637538354858,2.619141947055641,2.5904637538354858,0.0,-2.5904637538354858,2.619141947055641,2.5904637538354858,0.0
