profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20269420,0.22834339738712334,0.174,0.174,0.20852251304039385,0.20852251304039385,0,0,0,3.856762480998441,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20269421,0.1863858691236452,0.181,0.181,0.17865640173972538,0.17865640173972538,0,0,0,4.063777265997487,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20269422,0.17927803983228507,0.1785,0.1785,0.15320868756668543,0.15320868756668543,0,0,0,4.245032605998858,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,2,0,0,2,24,3,0,1,2,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20269423,0.19002483426885225,0.1705,0.1705,0.16631738191051756,0.16631738191051756,0,0,0,3.926466631000949,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20269424,0.20020821133450456,0.1785,0.1785,0.17572285034027313,0.17572285034027313,0,0,0,4.192896797001595,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20269425,0.1643989769820972,0.169,0.169,0.15508084304979836,0.15508084304979836,0,0,0,3.9649120869980834,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,0,1,24,3,0,0,3,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20269426,0.2049701053932228,0.1715,0.1715,0.19918559464854788,0.19918559464854788,0,0,0,3.788016434002202,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20269427,0.2022895488779869,0.172,0.172,0.179216333520452,0.179216333520452,0,0,0,4.013672396002221,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,1,2,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20269428,0.1652669393303154,0.175,0.175,0.1584378248293283,0.1584378248293283,0,0,0,3.9157168380006624,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,1,2,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20269429,0.17187594338512419,0.1745,0.1745,0.16211870760002087,0.16211870760002087,0,0,0,4.120411809999496,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,3,0,0,3,0.0,0.0,0.0,0.125,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,0,20269420,0.22834339738712334,0.174,0.174,0.0333021606414024,0.0333021606414024,0,0,0,9.769376134001504,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,3,0,3,0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,1,20269421,0.1863858691236452,0.181,0.181,0.04478831639563007,0.04478831639563007,0,0,0,9.88248386000123,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,1,0,1,0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,2,20269422,0.17927803983228507,0.1785,0.1785,0.030866965538164096,0.030866965538164096,0,0,0,10.009752287001902,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,1,0,1,0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,3,20269423,0.19002483426885225,0.1705,0.1705,0.042763947844669574,0.042763947844669574,0,0,0,9.930785958000342,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,3,0,3,0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,4,20269424,0.20020821133450456,0.1785,0.1785,0.019565162264308107,0.019565162264308107,0,1,0,9.96600586400018,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,0,0,0,0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,5,20269425,0.1643989769820972,0.169,0.169,0.04018540260084657,0.04018540260084657,0,0,0,9.948738471997785,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,6,20269426,0.2049701053932228,0.1715,0.1715,0.02933781560223569,0.02933781560223569,0,0,0,10.065095090998511,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,7,20269427,0.2022895488779869,0.172,0.172,0.0471176529561048,0.0471176529561048,0,0,0,9.943768322998949,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,1,0,1,0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,8,20269428,0.1652669393303154,0.175,0.175,0.01539582727138494,0.01539582727138494,0,1,0,10.034462417002942,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,1,0,1,0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
pilot,complex_local__weak__n2000__nsim10,complex_local__weak__nsim10__n2000__y8__seed20269420__pilot,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,rf,rf_core_v1,9,20269429,0.17187594338512419,0.1745,0.1745,0.027248313006022592,0.027248313006022592,0,0,0,10.130247711997072,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
