profile_name,scenario_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,rf_scenario_integrated_rmse,rf_scenario_mean_abs_error,rf_scenario_nan_rate,rf_fragile_denominator_share,rf_weak_first_stage_share,rf_mean_runtime_sec,kan_scenario_integrated_rmse,kan_scenario_mean_abs_error,kan_scenario_nan_rate,kan_fragile_denominator_share,kan_weak_first_stage_share,kan_mean_runtime_sec,kan_minus_rf_scenario_integrated_rmse,kan_minus_rf_scenario_mean_abs_error,kan_minus_rf_scenario_nan_rate,kan_minus_rf_fragile_denominator_share,kan_minus_rf_weak_first_stage_share,kan_minus_rf_mean_runtime_sec
pilot,baseline__strong__n2000__nsim10,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,3.680319160389162,3.1502961222823536,0.0,0.0,0.0,9.031216068199502,0.315432383240312,0.2293352300910315,0.0,0.0,0.0,4.051997450300041,-3.36488677714885,-2.920960892191322,0.0,0.0,0.0,-4.979218617899461
pilot,baseline__strong__n500__nsim10,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,1.7961336260704188,1.5246852157824156,0.0,0.0,0.0,4.447034222899674,0.15035019169299,0.1051563848321211,0.0,0.0,0.0,3.523370248500578,-1.645783434377429,-1.4195288309502945,0.0,0.0,0.0,-0.9236639743990964
pilot,baseline__weak__n2000__nsim10,baseline,weak,2000,10,8,3,25,30000,1729,20265420,rf_core_v1,kan_core_v1,9.30220951272701,6.559832541713209,0.0,0.3,0.0,8.991451068800234,0.8488891459324123,0.6102178933224387,0.0,0.0,0.0,3.997863646699989,-8.453320366794598,-5.94961464839077,0.0,-0.3,0.0,-4.993587422100246
pilot,baseline__weak__n500__nsim10,baseline,weak,500,10,8,3,25,30000,1729,20264420,rf_core_v1,kan_core_v1,5.75924839731187,3.972918405068986,0.0,0.2,0.0,4.415955024999858,0.535379502838527,0.353142766452842,0.0,0.0,0.0,3.2850237495997137,-5.223868894473343,-3.6197756386161437,0.0,-0.2,0.0,-1.130931275400144
pilot,complex_local__strong__n2000__nsim10,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,3.9524811218671543,3.406001123831836,0.0,0.0,0.0,9.899630981900554,0.3391751423187929,0.2489289509761257,0.0,0.0,0.0,4.039398156500101,-3.6133059795483615,-3.1570721728557105,0.0,0.0,0.0,-5.860232825400453
pilot,complex_local__strong__n500__nsim10,complex_local,strong,500,10,8,3,25,30000,1729,20270420,rf_core_v1,kan_core_v1,1.939611865382474,1.6764208728593382,0.0,0.0,0.0,4.642263441799878,0.1590016896306881,0.126873775478341,0.0,0.0,0.0,3.4514806787003183,-1.780610175751786,-1.549547097380997,0.0,0.0,0.0,-1.19078276309956
pilot,complex_local__weak__n2000__nsim10,complex_local,weak,2000,10,8,3,25,30000,1729,20269420,rf_core_v1,kan_core_v1,7.906156907662253,6.26515475395029,0.0,0.2,0.0,9.968071611800042,1.3794105242253996,1.0170329785935848,0.0,0.0,0.0,4.008766534599999,-6.526746383436853,-5.248121775356704,0.0,-0.2,0.0,-5.959305077200042
pilot,complex_local__weak__n500__nsim10,complex_local,weak,500,10,8,3,25,30000,1729,20268420,rf_core_v1,kan_core_v1,2.379369554313338,1.946006510723056,0.0,0.0,0.0,4.6441721682997015,0.8549580812919568,0.5850538270281187,0.0,0.0,0.0,3.4855462117997376,-1.5244114730213811,-1.3609526836949373,0.0,0.0,0.0,-1.158625956499964
pilot,smooth_low__strong__n2000__nsim10,smooth_low,strong,2000,10,8,3,25,30000,1729,20263420,rf_core_v1,kan_core_v1,3.00946328193351,2.5278199592616275,0.0,0.0,0.0,8.719540748300641,0.3505419203865716,0.2736839377618668,0.0,0.0,0.0,3.963188204900507,-2.6589213615469385,-2.2541360214997606,0.0,0.0,0.0,-4.756352543400134
pilot,smooth_low__strong__n500__nsim10,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,1.6524681719400216,1.3538112592769598,0.0,0.0,0.0,4.398028081499433,0.2028239741274254,0.1638296732350845,0.0,0.0,0.0,3.4171981891006,-1.4496441978125962,-1.1899815860418752,0.0,0.0,0.0,-0.980829892398833
pilot,smooth_low__weak__n2000__nsim10,smooth_low,weak,2000,10,8,3,25,30000,1729,20261420,rf_core_v1,kan_core_v1,10.520497671284293,6.709508887309665,0.0,0.2,0.0,8.811327684799835,1.5882786305607477,1.2282219242873056,0.0,0.0,0.0,4.039720974599914,-8.932219040723545,-5.4812869630223595,0.0,-0.2,0.0,-4.771606710199921
pilot,smooth_low__weak__n500__nsim10,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,6.583422147734492,4.429360234878898,0.0,0.1,0.0,4.426688745399952,1.0232754796491896,0.7796671436936975,0.0,0.0,0.0,3.516850691599757,-5.560146668085302,-3.6496930911852,0.0,-0.1,0.0,-0.9098380538001951
