profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,scenario_signed_bias,scenario_mean_abs_error,scenario_integrated_rmse,scenario_nan_rate,replications,mean_sample_first_stage,min_sample_first_stage,weak_first_stage_share,mean_true_complier_share,mean_true_first_stage,mean_abs_psi_beta,near_zero_denominator_share,fragile_denominator_share,mean_runtime_sec,median_runtime_sec,total_runtime_sec,mean_pi_clip_rate,mean_p_clip_rate,mean_pi_fallback_rate,mean_p_fallback_rate,mean_mu_fallback_rate,mean_mu_w1_fallback_rate,mean_mu_w0_fallback_rate
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.2292321100692994,0.2293352300910315,0.315432383240312,0.0,10,0.8367864414968718,0.8153799206591394,0.0,0.81375,0.81375,0.8005562154891365,0.0,0.0,4.051997450300041,4.046831446998112,40.51997450300041,0.0,0.0,0.0,0.0,0.0,0.125,0.125
pilot,baseline__strong__n2000__nsim10,baseline__strong__nsim10__n2000__y8__seed20267420__pilot,baseline,strong,2000,10,8,3,25,30000,1729,20267420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-3.1502961222823536,3.1502961222823536,3.680319160389162,0.0,10,0.8367864414968718,0.8153799206591394,0.0,0.81375,0.81375,0.0530519954942315,0.0,0.0,9.031216068199502,9.03478773599818,90.312160681995,0.0,0.0294499999999999,0.0,0.0,0.0,0.05,0.0333333333333333
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.0922918060128973,0.1051563848321211,0.15035019169299,0.0,10,0.831404246812889,0.800244329780907,0.0,0.8044,0.8044,0.7970626067792167,0.0,0.0,3.523370248500578,3.529212544999609,35.23370248500578,0.0,0.0,0.0,0.0,0.175,0.2125,0.2291666666666666
pilot,baseline__strong__n500__nsim10,baseline__strong__nsim10__n500__y8__seed20266420__pilot,baseline,strong,500,10,8,3,25,30000,1729,20266420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-1.521697323504335,1.5246852157824156,1.7961336260704188,0.0,10,0.831404246812889,0.800244329780907,0.0,0.8044,0.8044,0.1142047724123489,0.0,0.0,4.447034222899674,4.425483688000895,44.47034222899674,0.0,0.0136,0.0,0.0,0.0041666666666666,0.1083333333333333,0.1
pilot,baseline__weak__n2000__nsim10,baseline__weak__nsim10__n2000__y8__seed20265420__pilot,baseline,weak,2000,10,8,3,25,30000,1729,20265420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.6034775303859681,0.6102178933224387,0.8488891459324123,0.0,10,0.319432912943478,0.2834724952636026,0.0,0.2486499999999999,0.2486499999999999,0.2945039436509161,0.0,0.0,3.997863646699989,4.034437109999999,39.97863646699989,0.0,0.0,0.0,0.0,0.0,0.125,0.1208333333333333
pilot,baseline__weak__n2000__nsim10,baseline__weak__nsim10__n2000__y8__seed20265420__pilot,baseline,weak,2000,10,8,3,25,30000,1729,20265420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-6.559832541713209,6.559832541713209,9.30220951272701,0.0,10,0.319432912943478,0.2834724952636026,0.0,0.2486499999999999,0.2486499999999999,0.0338621339786569,0.0,0.3,8.991451068800234,8.97164730250006,89.91451068800234,0.0,0.0002,0.0,0.0,0.0,0.1166666666666666,0.0333333333333333
pilot,baseline__weak__n500__nsim10,baseline__weak__nsim10__n500__y8__seed20264420__pilot,baseline,weak,500,10,8,3,25,30000,1729,20264420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.3365828183492837,0.353142766452842,0.535379502838527,0.0,10,0.3254496819987574,0.2579355365157078,0.0,0.245,0.245,0.2955835027588589,0.0,0.0,3.2850237495997137,3.280626347001089,32.850237495997135,0.0,0.0,0.0,0.0,0.2041666666666666,0.2666666666666667,0.2541666666666667
pilot,baseline__weak__n500__nsim10,baseline__weak__nsim10__n500__y8__seed20264420__pilot,baseline,weak,500,10,8,3,25,30000,1729,20264420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-1.719444856923367,3.972918405068986,5.75924839731187,0.0,10,0.3254496819987574,0.2579355365157078,0.0,0.245,0.245,0.0615962401427279,0.0,0.2,4.415955024999858,4.410256148999906,44.159550249998574,0.0,0.0,0.0,0.0,0.0125,0.1083333333333333,0.1166666666666666
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,kan,kan_core_v1,-0.245152420860239,0.2489289509761257,0.3391751423187929,0.0,10,0.7554713963367762,0.737902695695509,0.0,0.76325,0.76325,0.7279826409347224,0.0,0.0,4.039398156500101,4.065691824000169,40.39398156500101,0.0,0.0,0.0,0.0,0.0,0.1125,0.125
pilot,complex_local__strong__n2000__nsim10,complex_local__strong__nsim10__n2000__y8__seed20271420__pilot,complex_local,strong,2000,10,8,3,25,30000,1729,20271420,rf_core_v1,kan_core_v1,rf,rf_core_v1,-3.406001123831836,3.406001123831836,3.9524811218671543,0.0,10,0.7554713963367762,0.737902695695509,0.0,0.76325,0.76325,0.0545985680439652,0.0,0.0,9.899630981900554,9.89793929500047,98.99630981900556,0.0,0.00535,0.0,0.0,0.0,0.0041666666666666,0.075
