profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20262420,0.756144817536949,0.762,0.762,0.7244589019950627,0.7244589019950627,0,0,0,3.482752452000568,3,0,0,0,0,3,0,0,0,0,24,6,0,1,5,24,6,0,3,3,24,6,0,4,2,0.0,0.0,0.25,0.25,0.25,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20262421,0.7838305231301341,0.76,0.76,0.759810601001005,0.759810601001005,0,0,0,3.430890946998261,3,0,0,0,0,3,0,0,0,0,24,5,0,0,5,24,5,0,3,2,24,7,0,3,4,0.0,0.0,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20262422,0.7308741185393167,0.76,0.76,0.7154470104877295,0.7154470104877295,0,0,0,3.101389454001037,3,0,0,0,0,3,0,0,0,0,24,6,0,0,6,24,6,0,3,3,24,7,0,3,4,0.0,0.0,0.25,0.25,0.2916666666666667,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20262423,0.7877637673700464,0.748,0.748,0.7815277635742164,0.7815277635742164,0,0,0,3.122631876001833,3,0,0,0,0,3,0,0,0,0,24,6,0,1,5,24,6,0,1,5,24,7,0,4,3,0.0,0.0,0.25,0.25,0.2916666666666667,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20262424,0.7635054021608644,0.746,0.746,0.7400371756440871,0.7400371756440871,0,0,0,3.3204598470001656,3,0,0,0,0,3,0,0,0,0,24,3,0,0,3,24,5,0,0,5,24,6,0,3,3,0.0,0.0,0.125,0.20833333333333334,0.25,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20262425,0.7879486071777149,0.782,0.782,0.7830473038794257,0.7830473038794257,0,0,0,3.6087216310006625,3,0,0,0,0,3,0,0,0,0,24,1,0,0,1,24,4,0,0,4,24,7,0,3,4,0.0,0.0,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20262426,0.7503013936442109,0.724,0.724,0.7271747004693426,0.7271747004693426,0,0,0,3.21589976299947,3,0,0,0,0,3,0,0,0,0,24,6,0,0,6,24,6,0,1,5,24,7,0,3,4,0.0,0.0,0.25,0.25,0.2916666666666667,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20262427,0.772,0.746,0.746,0.7485260055342198,0.7485260055342198,0,0,0,3.492594477000239,3,0,0,0,0,3,0,0,0,0,24,4,0,0,4,24,6,0,3,3,24,4,0,1,3,0.0,0.0,0.16666666666666666,0.25,0.16666666666666666,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20262428,0.7711538461538462,0.724,0.724,0.7504493982559421,0.7504493982559421,0,0,0,3.644276595001429,3,0,0,0,0,3,0,0,0,0,24,4,0,1,3,24,6,0,2,4,24,4,0,3,1,0.0,0.0,0.16666666666666666,0.25,0.16666666666666666,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20262429,0.7800179211469533,0.776,0.776,0.7540551882093383,0.7540551882093383,0,0,0,3.7523648490023334,3,0,0,0,0,3,0,0,0,0,24,3,0,1,2,24,6,0,2,4,24,3,0,3,0,0.0,0.0,0.125,0.25,0.125,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,0,20262420,0.756144817536949,0.762,0.762,0.1256000183205075,0.1256000183205075,0,0,0,4.271893855999224,3,0,0,0,0,3,0,0,0,0,24,1,0,1,0,24,3,0,3,0,24,4,0,4,0,0.0,0.0,0.041666666666666664,0.125,0.16666666666666666,0.0,0.006
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,1,20262421,0.7838305231301341,0.76,0.76,0.13323205875235306,0.13323205875235306,0,0,0,4.375229092998779,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,3,0,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.004
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,2,20262422,0.7308741185393167,0.76,0.76,0.10072717749371285,0.10072717749371285,0,0,0,4.346448882999539,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,3,0,24,3,0,3,0,0.0,0.0,0.0,0.125,0.125,0.0,0.008
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,3,20262423,0.7877637673700464,0.748,0.748,0.1296970163458352,0.1296970163458352,0,0,0,4.325026926999271,3,0,0,0,0,3,0,0,0,0,24,1,0,1,0,24,1,0,1,0,24,4,0,4,0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.0,0.004
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,4,20262424,0.7635054021608644,0.746,0.746,0.13356353695931553,0.13356353695931553,0,0,0,4.540286496998306,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,3,0,3,0,0.0,0.0,0.0,0.0,0.125,0.0,0.002
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,5,20262425,0.7879486071777149,0.782,0.782,0.1204445642626017,0.1204445642626017,0,0,0,4.5182739139963815,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,3,0,3,0,0.0,0.0,0.0,0.0,0.125,0.0,0.002
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,6,20262426,0.7503013936442109,0.724,0.724,0.1024672540391966,0.1024672540391966,0,0,0,4.432692467002198,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,1,0,1,0,24,3,0,3,0,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,7,20262427,0.772,0.746,0.746,0.13524238511257725,0.13524238511257725,0,0,0,4.463805301998946,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,3,0,24,1,0,1,0,0.0,0.0,0.0,0.125,0.041666666666666664,0.0,0.002
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,8,20262428,0.7711538461538462,0.724,0.724,0.16450415318057537,0.16450415318057537,0,0,0,4.315984549000859,3,0,0,0,0,3,0,0,0,0,24,1,0,1,0,24,2,0,2,0,24,3,0,3,0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.125,0.0,0.0
pilot,smooth_low__strong__n500__nsim10,smooth_low__strong__nsim10__n500__y8__seed20262420__pilot,smooth_low,strong,500,10,8,3,25,30000,1729,20262420,rf_core_v1,kan_core_v1,rf,rf_core_v1,9,20262429,0.7800179211469533,0.776,0.776,0.12863676748759495,0.12863676748759495,0,0,0,4.390639327000827,3,0,0,0,0,3,0,0,0,0,24,1,0,1,0,24,2,0,2,0,24,3,0,3,0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.125,0.0,0.01
