profile_name,scenario_label,run_label,design_name,instrument_strength,n_samples,n_simulations,y_points,k_folds,kan_steps,truth_sample_size,truth_seed,seed_base,rf_config_id,kan_config_id,model,model_config_id,simulation,seed,sample_first_stage,true_complier_share,true_first_stage,mean_psi_beta,abs_mean_psi_beta,near_zero_denominator,fragile_denominator,weak_first_stage,runtime_sec,pi_calls,pi_fallbacks,pi_empty_count,pi_constant_count,pi_imbalanced_count,p_calls,p_fallbacks,p_empty_count,p_constant_count,p_imbalanced_count,mu_calls,mu_fallbacks,mu_empty_count,mu_constant_count,mu_imbalanced_count,mu_w1_calls,mu_w1_fallbacks,mu_w1_empty_count,mu_w1_constant_count,mu_w1_imbalanced_count,mu_w0_calls,mu_w0_fallbacks,mu_w0_empty_count,mu_w0_constant_count,mu_w0_imbalanced_count,pi_fallback_rate,p_fallback_rate,mu_fallback_rate,mu_w1_fallback_rate,mu_w0_fallback_rate,pi_clip_rate,p_clip_rate
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,0,20260420,0.1851359361732805,0.16,0.16,0.16933252766911977,0.16933252766911977,0,0,0,4.010856573000638,3,0,0,0,0,3,0,0,0,0,24,6,0,3,3,24,6,0,3,3,24,6,0,6,0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,1,20260421,0.21667950693374421,0.138,0.138,0.2092331380368674,0.2092331380368674,0,0,0,3.387687451999227,3,0,0,0,0,3,0,0,0,0,24,5,0,0,5,24,6,0,3,3,24,6,0,1,5,0.0,0.0,0.20833333333333334,0.25,0.25,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,2,20260422,0.18391908328532108,0.14,0.14,0.16012849121175607,0.16012849121175607,0,0,0,3.587245926999458,3,0,0,0,0,3,0,0,0,0,24,3,0,0,3,24,3,0,1,2,24,6,0,4,2,0.0,0.0,0.125,0.125,0.25,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,3,20260423,0.15897235899185885,0.13,0.13,0.14514657426927632,0.14514657426927632,0,0,0,3.327659221999056,3,0,0,0,0,3,0,0,0,0,24,5,0,0,5,24,5,0,1,4,24,9,0,3,6,0.0,0.0,0.20833333333333334,0.20833333333333334,0.375,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,4,20260424,0.11609101535603916,0.13,0.13,0.08288135309713339,0.08288135309713339,0,0,0,3.4541278389988292,3,0,0,0,0,3,0,0,0,0,24,5,0,0,5,24,6,0,3,3,24,6,0,3,3,0.0,0.0,0.20833333333333334,0.25,0.25,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,5,20260425,0.17217101894521253,0.154,0.154,0.15212794664579252,0.15212794664579252,0,0,0,3.337265465997916,3,0,0,0,0,3,0,0,0,0,24,6,0,0,6,24,6,0,3,3,24,7,0,3,4,0.0,0.0,0.25,0.25,0.2916666666666667,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,6,20260426,0.22716160576428207,0.152,0.152,0.20306461538419285,0.20306461538419285,0,0,0,3.644602989003033,3,0,0,0,0,3,0,0,0,0,24,0,0,0,0,24,3,0,0,3,24,6,0,1,5,0.0,0.0,0.0,0.125,0.25,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,7,20260427,0.2199180747567845,0.156,0.156,0.193370311644256,0.193370311644256,0,0,0,3.359191413001099,3,0,0,0,0,3,0,0,0,0,24,6,0,0,6,24,6,0,0,6,24,6,0,4,2,0.0,0.0,0.25,0.25,0.25,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,8,20260428,0.2158332132391796,0.136,0.136,0.18741853580466342,0.18741853580466342,0,0,0,3.4014907960008713,3,0,0,0,0,3,0,0,0,0,24,6,0,1,5,24,6,0,2,4,24,7,0,4,3,0.0,0.0,0.25,0.25,0.2916666666666667,0.0,0.0
pilot,smooth_low__weak__n500__nsim10,smooth_low__weak__nsim10__n500__y8__seed20260420__pilot,smooth_low,weak,500,10,8,3,25,30000,1729,20260420,rf_core_v1,kan_core_v1,kan,kan_core_v1,9,20260429,0.17200000000000004,0.152,0.152,0.14821496610435173,0.14821496610435173,0,0,0,3.6583792389974406,3,0,0,0,0,3,0,0,0,0,24,4,0,0,4,24,6,0,3,3,24,4,0,3,1,0.0,0.0,0.16666666666666666,0.25,0.16666666666666666,0.0,0.0
